5;форма;;
7;multipath;;
6;безопасность;;
6;организация;;
5;migration;;
7;дублировать;;
8;передача;;
24;redundant;;
10;оптимизация;;
6;cluster;;
6;transmission;;
10;requests;;
5;информатика;;
6;перераспределение;;
7;эффективность;;
11;многопутевой;;
14;модель;;
5;exchange;;
7;service;;
5;задержка;;
9;время;;
5;прикладной;;
6;данные;;
11;сеть;;
8;system;;
9;реальный;;
14;обслуживание;;
6;real-time;;
6;model;;
5;услуга;;
5;распределение;;
24;запрос;;
12;network;;
8;канал;;
11;computer;;
8;маршрутизация;;
9;nodes;;
6;обмен;;
5;предоставление;;
7;агрегированный;;
6;выполнение;;
12;информационный;;
5;clusters;;
5;выбор;;
7;efficiency;;
5;обучение;;
6;резервирование;;
8;имитационный;;
8;компьютерный;;
11;кластер;;
5;duplicated;;
5;fault-tolerant;;
15;надежность;;
11;вычислительный;;
21;резервировать;;
41;система;;
10;systems;;
6;secure;;
8;access;;
5;distributed;;
7;оценка;;
