7;восстановление;;
9;simulation;;
8;смешанный;;
6;сцена;;
7;mixed;;
7;использование;;
17;systems;;
13;light;;
6;illumination;;
17;луч;;
18;метод;;
5;efficient;;
27;система;;
10;модель;;
5;augmented;;
5;виртуальный;;
11;reality;;
9;свет;;
5;restoration;;
5;analysis;;
6;design;;
8;анализ;;
12;задача;;
6;источник;;
5;визуализация;;
12;реальность;;
7;method;;
5;realistic;;
6;image;;
8;изображение;;
12;трассировка;;
6;фотореалистичный;;
8;двунаправить;;
5;rendering;;
6;компьютерный;;
14;оптический;;
5;computer;;
17;моделирование;;
6;элемент;;
5;methods;;
12;optical;;
5;средство;;
6;в;;
7;осветительный;;
9;построение;;
7;а;;
10;стохастический;;
10;освещение;;
5;photorealistic;;
5;model;;
5;проектирование;;
